"","precision","recall","fmeasure","nb_obs","num_voters","num_workers","ratio"
"10051",0.833333333333333,0.0526315789473684,0.099009900990099,12,7,9,"(0.6,0.8]"
"10052",0.75,0.0315789473684211,0.0606060606060606,8,7,9,"(0.6,0.8]"
"10053",0.888888888888889,0.0421052631578947,0.0804020100502512,9,7,9,"(0.6,0.8]"
"10054",0.941176470588235,0.0842105263157895,0.154589371980676,17,7,9,"(0.6,0.8]"
"10055",1,0.0578947368421053,0.109452736318408,11,7,9,"(0.6,0.8]"
"10056",0.8,0.0421052631578947,0.08,10,7,9,"(0.6,0.8]"
"10057",0.8,0.0210526315789474,0.041025641025641,5,7,9,"(0.6,0.8]"
"10058",0.91304347826087,0.110526315789474,0.197183098591549,23,7,9,"(0.6,0.8]"
"10059",0.909090909090909,0.0526315789473684,0.099502487562189,11,7,9,"(0.6,0.8]"
"10060",1,0.0368421052631579,0.0710659898477157,7,7,9,"(0.6,0.8]"
"10061",0.769230769230769,0.0526315789473684,0.0985221674876847,13,7,9,"(0.6,0.8]"
"10062",0.705882352941177,0.0631578947368421,0.115942028985507,17,7,9,"(0.6,0.8]"
"10063",0.91304347826087,0.110526315789474,0.197183098591549,23,7,9,"(0.6,0.8]"
"10064",1,0.0368421052631579,0.0710659898477157,7,7,9,"(0.6,0.8]"
"10065",0.88,0.115789473684211,0.204651162790698,25,7,9,"(0.6,0.8]"
"10066",0.9,0.0947368421052632,0.171428571428571,20,7,9,"(0.6,0.8]"
"10067",0.875,0.0736842105263158,0.135922330097087,16,7,9,"(0.6,0.8]"
"10068",1,0.0210526315789474,0.0412371134020619,4,7,9,"(0.6,0.8]"
"10069",0.857142857142857,0.0631578947368421,0.117647058823529,14,7,9,"(0.6,0.8]"
"10070",0.909090909090909,0.0526315789473684,0.099502487562189,11,7,9,"(0.6,0.8]"
"10071",0.8125,0.068421052631579,0.126213592233010,16,7,9,"(0.6,0.8]"
"10072",0.909090909090909,0.0526315789473684,0.099502487562189,11,7,9,"(0.6,0.8]"
"10073",0.833333333333333,0.105263157894737,0.186915887850467,24,7,9,"(0.6,0.8]"
"10074",0.869565217391304,0.105263157894737,0.187793427230047,23,7,9,"(0.6,0.8]"
"10075",1,0.0421052631578947,0.0808080808080808,8,7,9,"(0.6,0.8]"
"10076",0.833333333333333,0.0526315789473684,0.099009900990099,12,7,9,"(0.6,0.8]"
"10077",0.888888888888889,0.126315789473684,0.221198156682028,27,7,9,"(0.6,0.8]"
"10078",1,0.0526315789473684,0.1,10,7,9,"(0.6,0.8]"
"10079",0.88235294117647,0.0789473684210526,0.144927536231884,17,7,9,"(0.6,0.8]"
"10080",0.909090909090909,0.0526315789473684,0.099502487562189,11,7,9,"(0.6,0.8]"
"10081",0.866666666666667,0.068421052631579,0.126829268292683,15,7,9,"(0.6,0.8]"
"10082",1,0.0263157894736842,0.0512820512820513,5,7,9,"(0.6,0.8]"
"10083",0.928571428571429,0.068421052631579,0.127450980392157,14,7,9,"(0.6,0.8]"
"10084",0.888888888888889,0.0421052631578947,0.0804020100502512,9,7,9,"(0.6,0.8]"
"10085",0.875,0.0736842105263158,0.135922330097087,16,7,9,"(0.6,0.8]"
"10086",0.888888888888889,0.0421052631578947,0.0804020100502512,9,7,9,"(0.6,0.8]"
"10087",0.846153846153846,0.0578947368421053,0.108374384236453,13,7,9,"(0.6,0.8]"
"10088",0.923076923076923,0.0631578947368421,0.118226600985222,13,7,9,"(0.6,0.8]"
"10089",0.8,0.0842105263157895,0.152380952380952,20,7,9,"(0.6,0.8]"
"10090",0.857142857142857,0.0631578947368421,0.117647058823529,14,7,9,"(0.6,0.8]"
"10091",0.88235294117647,0.0789473684210526,0.144927536231884,17,7,9,"(0.6,0.8]"
"10092",0.875,0.0736842105263158,0.135922330097087,16,7,9,"(0.6,0.8]"
"10093",0.9,0.0473684210526316,0.09,10,7,9,"(0.6,0.8]"
"10094",1,0.0736842105263158,0.137254901960784,14,7,9,"(0.6,0.8]"
"10095",0.777777777777778,0.0368421052631579,0.0703517587939698,9,7,9,"(0.6,0.8]"
"10096",0.571428571428571,0.0210526315789474,0.0406091370558376,7,7,9,"(0.6,0.8]"
"10097",0.888888888888889,0.0421052631578947,0.0804020100502512,9,7,9,"(0.6,0.8]"
"10098",0.846153846153846,0.0578947368421053,0.108374384236453,13,7,9,"(0.6,0.8]"
"10099",0.956521739130435,0.115789473684211,0.206572769953052,23,7,9,"(0.6,0.8]"
"10100",0.928571428571429,0.068421052631579,0.127450980392157,14,7,9,"(0.6,0.8]"
"10101",1,0.0631578947368421,0.118811881188119,12,7,9,"(0.6,0.8]"
"10102",0.8125,0.068421052631579,0.126213592233010,16,7,9,"(0.6,0.8]"
"10103",0.791666666666667,0.1,0.177570093457944,24,7,9,"(0.6,0.8]"
"10104",0.909090909090909,0.0526315789473684,0.099502487562189,11,7,9,"(0.6,0.8]"
"10105",1,0.0526315789473684,0.1,10,7,9,"(0.6,0.8]"
"10106",1,0.0526315789473684,0.1,10,7,9,"(0.6,0.8]"
"10107",1,0.0473684210526316,0.0904522613065327,9,7,9,"(0.6,0.8]"
"10108",0.823529411764706,0.0736842105263158,0.135265700483092,17,7,9,"(0.6,0.8]"
"10109",0.9,0.0947368421052632,0.171428571428571,20,7,9,"(0.6,0.8]"
"10110",0.875,0.0368421052631579,0.0707070707070707,8,7,9,"(0.6,0.8]"
"10111",0.8125,0.068421052631579,0.126213592233010,16,7,9,"(0.6,0.8]"
"10112",0.944444444444444,0.0894736842105263,0.163461538461538,18,7,9,"(0.6,0.8]"
"10113",1,0.0263157894736842,0.0512820512820513,5,7,9,"(0.6,0.8]"
"10114",0.833333333333333,0.0789473684210526,0.144230769230769,18,7,9,"(0.6,0.8]"
"10115",0.916666666666667,0.0578947368421053,0.108910891089109,12,7,9,"(0.6,0.8]"
"10116",0.814814814814815,0.115789473684211,0.202764976958525,27,7,9,"(0.6,0.8]"
"10117",0.692307692307692,0.0473684210526316,0.0886699507389163,13,7,9,"(0.6,0.8]"
"10118",0.7,0.0368421052631579,0.07,10,7,9,"(0.6,0.8]"
"10119",1,0.105263157894737,0.190476190476190,20,7,9,"(0.6,0.8]"
"10120",0.9,0.0473684210526316,0.09,10,7,9,"(0.6,0.8]"
"10121",1,0.0421052631578947,0.0808080808080808,8,7,9,"(0.6,0.8]"
"10122",0.8,0.0631578947368421,0.117073170731707,15,7,9,"(0.6,0.8]"
"10123",0.846153846153846,0.0578947368421053,0.108374384236453,13,7,9,"(0.6,0.8]"
"10124",1,0.068421052631579,0.128078817733990,13,7,9,"(0.6,0.8]"
