"","X","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"4909",4909,0.937853107344633,0.907103825136612,0.922222222222222,177,1,3,0.01,0.005
"4910",4910,0.936781609195402,0.890710382513661,0.913165266106443,174,1,3,0.01,0.005
"4911",4911,0.858895705521472,0.765027322404372,0.809248554913295,163,1,3,0.01,0.005
"4912",4912,0.924418604651163,0.868852459016393,0.895774647887324,172,1,3,0.01,0.005
"4913",4913,0.957575757575758,0.863387978142076,0.908045977011494,165,1,3,0.01,0.005
"4914",4914,0.948051948051948,0.797814207650273,0.86646884272997,154,1,3,0.01,0.005
"4915",4915,0.92156862745098,0.770491803278688,0.839285714285714,153,1,3,0.01,0.005
"4916",4916,0.922619047619048,0.846994535519126,0.883190883190883,168,1,3,0.01,0.005
"4917",4917,0.926136363636364,0.890710382513661,0.90807799442897,176,1,3,0.01,0.005
"4918",4918,0.926553672316384,0.896174863387978,0.911111111111111,177,1,3,0.01,0.005
"4919",4919,0.926553672316384,0.896174863387978,0.911111111111111,177,1,3,0.01,0.005
"4920",4920,0.834224598930481,0.852459016393443,0.843243243243243,187,1,3,0.01,0.005
"4921",4921,0.850299401197605,0.775956284153005,0.81142857142857,167,1,3,0.01,0.005
"4922",4922,0.921787709497207,0.901639344262295,0.911602209944751,179,1,3,0.01,0.005
"4923",4923,0.94578313253012,0.85792349726776,0.89971346704871,166,1,3,0.01,0.005
"4924",4924,0.932584269662921,0.907103825136612,0.9196675900277,178,1,3,0.01,0.005
"4925",4925,0.900621118012422,0.792349726775956,0.843023255813953,161,1,3,0.01,0.005
"4926",4926,0.896103896103896,0.754098360655738,0.818991097922849,154,1,3,0.01,0.005
"4927",4927,0.963855421686747,0.87431693989071,0.916905444126074,166,1,3,0.01,0.005
"4928",4928,0.927374301675978,0.907103825136612,0.917127071823205,179,1,3,0.01,0.005
"4929",4929,0.95031055900621,0.836065573770492,0.88953488372093,161,1,3,0.01,0.005
"4930",4930,0.925,0.808743169398907,0.862973760932945,160,1,3,0.01,0.005
"4931",4931,0.887417218543046,0.73224043715847,0.802395209580838,151,1,3,0.01,0.005
"4932",4932,0.867052023121387,0.819672131147541,0.842696629213483,173,1,3,0.01,0.005
"4933",4933,0.824468085106383,0.846994535519126,0.835579514824798,188,1,3,0.01,0.005
"4934",4934,0.895705521472393,0.797814207650273,0.84393063583815,163,1,3,0.01,0.005
"4935",4935,0.952380952380952,0.765027322404372,0.848484848484849,147,1,3,0.01,0.005
"4936",4936,0.896341463414634,0.80327868852459,0.847262247838617,164,1,3,0.01,0.005
"4937",4937,0.95890410958904,0.765027322404372,0.851063829787234,146,1,3,0.01,0.005
"4938",4938,0.884393063583815,0.836065573770492,0.859550561797753,173,1,3,0.01,0.005
"4939",4939,0.910714285714286,0.836065573770492,0.871794871794872,168,1,3,0.01,0.005
"4940",4940,0.940397350993378,0.775956284153005,0.850299401197605,151,1,3,0.01,0.005
"4941",4941,0.9375,0.819672131147541,0.87463556851312,160,1,3,0.01,0.005
"4942",4942,0.969325153374233,0.863387978142076,0.913294797687861,163,1,3,0.01,0.005
"4943",4943,0.965317919075145,0.912568306010929,0.938202247191011,173,1,3,0.01,0.005
"4944",4944,0.933333333333333,0.765027322404372,0.840840840840841,150,1,3,0.01,0.005
"4945",4945,0.95104895104895,0.743169398907104,0.83435582822086,143,1,3,0.01,0.005
"4946",4946,0.962121212121212,0.693989071038251,0.806349206349206,132,1,3,0.01,0.005
"4947",4947,0.94047619047619,0.863387978142076,0.9002849002849,168,1,3,0.01,0.005
"4948",4948,0.901840490797546,0.80327868852459,0.84971098265896,163,1,3,0.01,0.005
"4949",4949,0.891891891891892,0.901639344262295,0.896739130434783,185,1,3,0.01,0.005
"4950",4950,0.888297872340426,0.912568306010929,0.900269541778976,188,1,3,0.01,0.005
"4951",4951,0.941176470588235,0.78688524590164,0.857142857142857,153,1,3,0.01,0.005
"4952",4952,0.91304347826087,0.918032786885246,0.915531335149864,184,1,3,0.01,0.005
"4953",4953,0.92857142857143,0.852459016393443,0.888888888888889,168,1,3,0.01,0.005
"4954",4954,0.921348314606742,0.896174863387978,0.908587257617729,178,1,3,0.01,0.005
"4955",4955,0.957317073170732,0.85792349726776,0.904899135446686,164,1,3,0.01,0.005
"4956",4956,0.948275862068966,0.901639344262295,0.92436974789916,174,1,3,0.01,0.005
"4957",4957,0.95266272189349,0.879781420765027,0.914772727272727,169,1,3,0.01,0.005
"4958",4958,0.874251497005988,0.797814207650273,0.834285714285714,167,1,3,0.01,0.005
"4959",4959,0.963636363636364,0.868852459016393,0.913793103448276,165,1,3,0.01,0.005
"4960",4960,0.946745562130177,0.87431693989071,0.909090909090909,169,1,3,0.01,0.005
"4961",4961,0.933333333333333,0.765027322404372,0.840840840840841,150,1,3,0.01,0.005
"4962",4962,0.892215568862275,0.814207650273224,0.85142857142857,167,1,3,0.01,0.005
"4963",4963,0.935483870967742,0.158469945355191,0.271028037383178,31,1,3,0.01,0.005
"4964",4964,0.923566878980892,0.792349726775956,0.852941176470588,157,1,3,0.01,0.005
"4965",4965,0.892405063291139,0.770491803278688,0.826979472140762,158,1,3,0.01,0.005
"4966",4966,0.949685534591195,0.825136612021858,0.883040935672515,159,1,3,0.01,0.005
"4967",4967,0.941935483870968,0.797814207650273,0.863905325443787,155,1,3,0.01,0.005
"4968",4968,0.945454545454545,0.852459016393443,0.896551724137931,165,1,3,0.01,0.005
"4969",4969,0.872093023255814,0.819672131147541,0.845070422535211,172,1,3,0.01,0.005
"4970",4970,0.95890410958904,0.765027322404372,0.851063829787234,146,1,3,0.01,0.005
