"","X","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"14105",14105,0.899543378995434,0.471291866028708,0.618524332810047,219,1,3,0.01,0.01
"14106",14106,0.969543147208122,0.456937799043062,0.621138211382114,197,1,3,0.01,0.01
"14107",14107,0.923423423423423,0.490430622009569,0.640625,222,1,3,0.01,0.01
"14108",14108,0.921875,0.282296650717703,0.432234432234432,128,1,3,0.01,0.01
"14109",14109,0.777777777777778,0.4688995215311,0.585074626865672,252,1,3,0.01,0.01
"14110",14110,0.849462365591398,0.566985645933014,0.680057388809182,279,1,3,0.01,0.01
"14111",14111,0.787234042553192,0.354066985645933,0.488448844884488,188,1,3,0.01,0.01
"14112",14112,0.597633136094675,0.241626794258373,0.34412265758092,169,1,3,0.01,0.01
"14113",14113,0.809798270893372,0.672248803827751,0.734640522875817,347,1,3,0.01,0.01
"14114",14114,0.8130081300813,0.717703349282297,0.762388818297332,369,1,3,0.01,0.01
"14115",14115,0.801724137931034,0.667464114832536,0.72845953002611,348,1,3,0.01,0.01
"14116",14116,0.810650887573965,0.655502392344498,0.724867724867725,338,1,3,0.01,0.01
"14117",14117,0.781818181818182,0.720095693779904,0.749688667496887,385,1,3,0.01,0.01
"14118",14118,0.866141732283465,0.526315789473684,0.654761904761905,254,1,3,0.01,0.01
"14119",14119,0.843853820598007,0.607655502392344,0.70653685674548,301,1,3,0.01,0.01
"14120",14120,0.980392156862745,0.119617224880383,0.213219616204691,51,1,3,0.01,0.01
"14121",14121,0.89732142857143,0.480861244019139,0.626168224299065,224,1,3,0.01,0.01
"14122",14122,0.804407713498623,0.698564593301435,0.74775928297055,363,1,3,0.01,0.01
"14123",14123,0.750798722044728,0.562200956937799,0.642954856361149,313,1,3,0.01,0.01
"14124",14124,0.83008356545961,0.712918660287081,0.767052767052767,359,1,3,0.01,0.01
"14125",14125,0.78125,0.41866028708134,0.545171339563863,224,1,3,0.01,0.01
"14126",14126,0.83728813559322,0.590909090909091,0.692847124824684,295,1,3,0.01,0.01
"14127",14127,0.833876221498371,0.61244019138756,0.706206896551724,307,1,3,0.01,0.01
"14128",14128,0.77859778597786,0.504784688995215,0.612481857764877,271,1,3,0.01,0.01
"14129",14129,0.829875518672199,0.478468899521531,0.606980273141123,241,1,3,0.01,0.01
"14130",14130,0.81,0.58133971291866,0.676880222841226,300,1,3,0.01,0.01
"14131",14131,0.792727272727273,0.521531100478469,0.629148629148629,275,1,3,0.01,0.01
"14132",14132,0.738916256157635,0.717703349282297,0.728155339805825,406,1,3,0.01,0.01
"14133",14133,0.857615894039735,0.619617224880383,0.719444444444444,302,1,3,0.01,0.01
"14134",14134,0.86254295532646,0.600478468899522,0.708039492242595,291,1,3,0.01,0.01
"14135",14135,0.783068783068783,0.708133971291866,0.743718592964824,378,1,3,0.01,0.01
"14136",14136,0.873563218390805,0.545454545454545,0.671575846833579,261,1,3,0.01,0.01
"14137",14137,0.85121107266436,0.588516746411483,0.695898161244696,289,1,3,0.01,0.01
"14138",14138,0.732758620689655,0.406698564593301,0.523076923076923,232,1,3,0.01,0.01
"14139",14139,0.763285024154589,0.37799043062201,0.5056,207,1,3,0.01,0.01
"14140",14140,0.735119047619048,0.590909090909091,0.655172413793103,336,1,3,0.01,0.01
"14141",14141,0.847352024922118,0.650717703349282,0.736129905277402,321,1,3,0.01,0.01
